relation,relation_id
http://www.wikidata.org/prop/direct/P1001,0
http://www.wikidata.org/prop/direct/P101,1
http://www.wikidata.org/prop/direct/P102,2
http://www.wikidata.org/prop/direct/P1026,3
http://www.wikidata.org/prop/direct/P1027,4
http://www.wikidata.org/prop/direct/P10280,5
http://www.wikidata.org/prop/direct/P103,6
http://www.wikidata.org/prop/direct/P1034,7
http://www.wikidata.org/prop/direct/P1037,8
http://www.wikidata.org/prop/direct/P1038,9
http://www.wikidata.org/prop/direct/P10476,10
http://www.wikidata.org/prop/direct/P105,11
http://www.wikidata.org/prop/direct/P1050,12
http://www.wikidata.org/prop/direct/P1056,13
http://www.wikidata.org/prop/direct/P1057,14
http://www.wikidata.org/prop/direct/P10588,15
http://www.wikidata.org/prop/direct/P106,16
http://www.wikidata.org/prop/direct/P10607,17
http://www.wikidata.org/prop/direct/P1066,18
http://www.wikidata.org/prop/direct/P10661,19
http://www.wikidata.org/prop/direct/P1071,20
http://www.wikidata.org/prop/direct/P1072,21
http://www.wikidata.org/prop/direct/P1073,22
http://www.wikidata.org/prop/direct/P1075,23
http://www.wikidata.org/prop/direct/P108,24
http://www.wikidata.org/prop/direct/P112,25
http://www.wikidata.org/prop/direct/P1151,26
http://www.wikidata.org/prop/direct/P119,27
http://www.wikidata.org/prop/direct/P1196,28
http://www.wikidata.org/prop/direct/P121,29
http://www.wikidata.org/prop/direct/P122,30
http://www.wikidata.org/prop/direct/P123,31
http://www.wikidata.org/prop/direct/P1268,32
http://www.wikidata.org/prop/direct/P12686,33
http://www.wikidata.org/prop/direct/P12687,34
http://www.wikidata.org/prop/direct/P1269,35
http://www.wikidata.org/prop/direct/P127,36
http://www.wikidata.org/prop/direct/P129,37
http://www.wikidata.org/prop/direct/P1299,38
http://www.wikidata.org/prop/direct/P1304,39
http://www.wikidata.org/prop/direct/P13044,40
http://www.wikidata.org/prop/direct/P131,41
http://www.wikidata.org/prop/direct/P1313,42
http://www.wikidata.org/prop/direct/P1327,43
http://www.wikidata.org/prop/direct/P1336,44
http://www.wikidata.org/prop/direct/P1343,45
http://www.wikidata.org/prop/direct/P1344,46
http://www.wikidata.org/prop/direct/P1346,47
http://www.wikidata.org/prop/direct/P135,48
http://www.wikidata.org/prop/direct/P13574,49
http://www.wikidata.org/prop/direct/P136,50
http://www.wikidata.org/prop/direct/P1365,51
http://www.wikidata.org/prop/direct/P1366,52
http://www.wikidata.org/prop/direct/P137,53
http://www.wikidata.org/prop/direct/P13713,54
http://www.wikidata.org/prop/direct/P1376,55
http://www.wikidata.org/prop/direct/P138,56
http://www.wikidata.org/prop/direct/P1382,57
http://www.wikidata.org/prop/direct/P1399,58
http://www.wikidata.org/prop/direct/P140,59
http://www.wikidata.org/prop/direct/P1411,60
http://www.wikidata.org/prop/direct/P1412,61
http://www.wikidata.org/prop/direct/P1416,62
http://www.wikidata.org/prop/direct/P1423,63
http://www.wikidata.org/prop/direct/P1424,64
http://www.wikidata.org/prop/direct/P1429,65
http://www.wikidata.org/prop/direct/P1433,66
http://www.wikidata.org/prop/direct/P1435,67
http://www.wikidata.org/prop/direct/P144,68
http://www.wikidata.org/prop/direct/P1441,69
http://www.wikidata.org/prop/direct/P1454,70
http://www.wikidata.org/prop/direct/P1456,71
http://www.wikidata.org/prop/direct/P1464,72
http://www.wikidata.org/prop/direct/P1465,73
http://www.wikidata.org/prop/direct/P149,74
http://www.wikidata.org/prop/direct/P150,75
http://www.wikidata.org/prop/direct/P1532,76
http://www.wikidata.org/prop/direct/P1533,77
http://www.wikidata.org/prop/direct/P1535,78
http://www.wikidata.org/prop/direct/P1542,79
http://www.wikidata.org/prop/direct/P1546,80
http://www.wikidata.org/prop/direct/P155,81
http://www.wikidata.org/prop/direct/P1552,82
http://www.wikidata.org/prop/direct/P1557,83
http://www.wikidata.org/prop/direct/P156,84
http://www.wikidata.org/prop/direct/P1560,85
http://www.wikidata.org/prop/direct/P1589,86
http://www.wikidata.org/prop/direct/P159,87
http://www.wikidata.org/prop/direct/P161,88
http://www.wikidata.org/prop/direct/P1622,89
http://www.wikidata.org/prop/direct/P163,90
http://www.wikidata.org/prop/direct/P166,91
