subject,subject_label,relation,object,object_label,sentence,source_url,subject_norm,object_norm,subject_external,object_external,subject_qid,object_qid,subject_is_wikidata,object_is_wikidata,alignment_status
"""Design Computing and Cognition",ORG,lead,biannual,DATE,"AID was later renamed ""Design Computing and Cognition (DCC)""[2] and is currently a leading biannual conference in the field.",https://en.wikipedia.org/wiki/Computational_design,"""design computing and cognition",biannual,,,,,False,False,not_fully_aligned
'PaxSims' blog,ORG,archive,2 November 2022,DATE,"- ^ ""Carana,"" at 'PaxSims' blog, 27 January 2009 Archived 2 November 2022 at the Wayback Machine.
- ^ Kratzig, Gregory (March 2013).",https://en.wikipedia.org/wiki/Simulation,'paxsims' blog,2 november 2022,,,,,False,False,not_fully_aligned
'PaxSims' blog,ORG,archive,the Wayback Machine,ORG,"- ^ ""Carana,"" at 'PaxSims' blog, 27 January 2009 Archived 2 November 2022 at the Wayback Machine.
- ^ Kratzig, Gregory (March 2013).",https://en.wikipedia.org/wiki/Simulation,'paxsims' blog,the wayback machine,,,,,False,False,not_fully_aligned
1 January 2019.[89][90,DATE,issue,Lithuania,GPE,"In early 2018 the Italian Ministry of Infrastructure and Transport issued a decree (DM 01/12/17) creating a governmental BIM Mandate compelling public client organisations to adopt a digital approach by 2025, with an incremental obligation which will start on 1 January 2019.[89][90]
Lithuania
[edit]Lithuania is moving towards adoption of BIM infrastructure by founding a public body ""Skaitmeninė statyba"" (Digital Construction), which is managed by 13 associations.",https://en.wikipedia.org/wiki/Building_information_modeling,1 january 2019.[89][90,lithuania,,http://www.wikidata.org/entity/Q37,,Q37,False,True,not_fully_aligned
10 December 2017,DATE,design,Encyclopedia of Computer Science,ORG,"^ In the words of the Simulation article Archived 10 December 2017 at the Wayback Machine in Encyclopedia of Computer Science, ""designing a model of a real or imagined system and conducting experiments with that model"".
- ^ Sokolowski, J.A.; Banks, C.M. (2009).",https://en.wikipedia.org/wiki/Simulation,10 december 2017,encyclopedia of computer science,,http://www.wikidata.org/entity/Q126683668,,Q126683668,False,True,not_fully_aligned
10 December 2017,DATE,design,the Wayback Machine,ORG,"^ In the words of the Simulation article Archived 10 December 2017 at the Wayback Machine in Encyclopedia of Computer Science, ""designing a model of a real or imagined system and conducting experiments with that model"".
- ^ Sokolowski, J.A.; Banks, C.M. (2009).",https://en.wikipedia.org/wiki/Simulation,10 december 2017,the wayback machine,,,,,False,False,not_fully_aligned
10 October 2020,DATE,react,the Wayback Machine,ORG,"^ ""Reacting to the Past: STEM Games"" Archived 10 October 2020 at the Wayback Machine.",https://en.wikipedia.org/wiki/Simulation,10 october 2020,the wayback machine,,,,,False,False,not_fully_aligned
14 July 2012,DATE,archive.today,2005,DATE,"Simulation publications Deprecated link archived 14 July 2012 at archive.today
- ^ Ulf, Eriksson (2005). Diffusion of Discrete Event Simulation in Swedish Industry.",https://en.wikipedia.org/wiki/Simulation,14 july 2012,2005,,,,,False,False,not_fully_aligned
14 July 2012,DATE,archive.today,Eriksson,PERSON,"Simulation publications Deprecated link archived 14 July 2012 at archive.today
- ^ Ulf, Eriksson (2005). Diffusion of Discrete Event Simulation in Swedish Industry.",https://en.wikipedia.org/wiki/Simulation,14 july 2012,eriksson,,http://www.wikidata.org/entity/Q1354604,,Q1354604,False,True,not_fully_aligned
14 July 2012,DATE,archive.today,Ulf,PERSON,"Simulation publications Deprecated link archived 14 July 2012 at archive.today
- ^ Ulf, Eriksson (2005). Diffusion of Discrete Event Simulation in Swedish Industry.",https://en.wikipedia.org/wiki/Simulation,14 july 2012,ulf,,,,,False,False,not_fully_aligned
16 April 2009,DATE,react,the Wayback Machine,ORG,"^ ""Reacting to the Past Home Page"" Archived 16 April 2009 at the Wayback Machine.",https://en.wikipedia.org/wiki/Simulation,16 april 2009,the wayback machine,,,,,False,False,not_fully_aligned
18 aprile 2016,DATE,archive,25 January 2021,DATE,"- ^ DECRETO LEGISLATIVO 18 aprile 2016, n. 50 Archived 25 January 2021 at the Wayback Machine Gazzetta Ufficiale.",https://en.wikipedia.org/wiki/Building_information_modeling,18 aprile 2016,25 january 2021,,,,,False,False,not_fully_aligned
19 September 2021,DATE,retrieve,Lindsay,PERSON,"Retrieved 19 September 2021.
- ^ Lindsay, Richard P. (September 1964).",https://en.wikipedia.org/wiki/Machine_learning,19 september 2021,lindsay,,http://www.wikidata.org/entity/Q13403801,,Q13403801,False,True,not_fully_aligned
19 September 2021,DATE,retrieve,Richard P.,PERSON,"Retrieved 19 September 2021.
- ^ Lindsay, Richard P. (September 1964).",https://en.wikipedia.org/wiki/Machine_learning,19 september 2021,richard p.,,http://www.wikidata.org/entity/Q110409222,,Q110409222,False,True,not_fully_aligned
19 September 2021,DATE,retrieve,September 1964,DATE,"Retrieved 19 September 2021.
- ^ Lindsay, Richard P. (September 1964).",https://en.wikipedia.org/wiki/Machine_learning,19 september 2021,september 1964,,http://www.wikidata.org/entity/Q16676381,,Q16676381,False,True,not_fully_aligned
1949,DATE,canadian psychologist,Donald Hebb,PERSON,"In 1949, Canadian psychologist Donald Hebb published the book The Organization of Behavior, in which he introduced a theoretical neural structure formed by certain interactions among nerve cells.[10]",https://en.wikipedia.org/wiki/Machine_learning,1949,donald hebb,,,,,False,False,not_fully_aligned
1949,DATE,describe,Donald Hebb,PERSON,"In 1949, Donald Hebb described Hebbian learning, the idea that neural networks can change and learn over time by strengthening a synapse every time a signal travels along it.[8]",https://en.wikipedia.org/wiki/Neural_network,1949,donald hebb,,,,,False,False,not_fully_aligned
1956,DATE,archive,26 April 2011,DATE,"- Solomonoff, Ray, (1956) An Inductive Inference Machine Archived 26 April 2011 at the Wayback Machine A privately circulated report from the 1956 Dartmouth Summer Research Conference on AI.",https://en.wikipedia.org/wiki/Machine_learning,1956,26 april 2011,,,,,False,False,not_fully_aligned
1956,DATE,discover,Svaetichin,PERSON,"In 1956, Svaetichin discovered the functioning of second order retinal cells (Horizontal Cells), which were fundamental for the understanding of neural networks.",https://en.wikipedia.org/wiki/Neural_network,1956,svaetichin,,http://www.wikidata.org/entity/Q45902399,,Q45902399,False,True,not_fully_aligned
1958,DATE,call,Willy Higginbotham,PERSON,"In 1958, a computer game called Tennis for Two was created by Willy Higginbotham which simulated a tennis game between two players who could both play at the same time using hand controls and was displayed on an oscilloscope.[59]",https://en.wikipedia.org/wiki/Simulation,1958,willy higginbotham,,,,,False,False,not_fully_aligned
1970s,DATE,use,early 1980s,DATE,"1970s and early 1980s
[edit]Computer-generated imagery was used in the film to simulate objects as early as 1972 in A Computer Animated Hand, parts of which were shown on the big screen in the 1976 film Futureworld.",https://en.wikipedia.org/wiki/Simulation,1970s,early 1980s,http://www.wikidata.org/entity/Q35014,,Q35014,,True,False,not_fully_aligned
1972,DATE,austrian linguist,Edgar W. Schneider,PERSON,"History
[edit]The term was coined as early as 1972 by the Austrian linguist Edgar W. Schneider, in a discussion of how to build modular instructional systems for courses.[6]",https://en.wikipedia.org/wiki/Knowledge_graph,1972,edgar w. schneider,,http://www.wikidata.org/entity/Q83154480,,Q83154480,False,True,not_fully_aligned
1980,DATE,cause,1984,DATE,"The film Tron (1982) was the first film to use computer-generated imagery for more than a couple of minutes.[60]
Advances in technology in the 1980s caused 3D simulation to become more widely used and it began to appear in movies and in computer-based games such as Atari's Battlezone (1980) and Acornsoft's Elite (1984), one of the first wire-frame 3D graphics games for home computers.",https://en.wikipedia.org/wiki/Simulation,1980,1984,,,,,False,False,not_fully_aligned
1980,DATE,cause,Acornsoft,ORG,"The film Tron (1982) was the first film to use computer-generated imagery for more than a couple of minutes.[60]
Advances in technology in the 1980s caused 3D simulation to become more widely used and it began to appear in movies and in computer-based games such as Atari's Battlezone (1980) and Acornsoft's Elite (1984), one of the first wire-frame 3D graphics games for home computers.",https://en.wikipedia.org/wiki/Simulation,1980,acornsoft,,http://www.wikidata.org/entity/Q3604604,,Q3604604,False,True,not_fully_aligned
