private_entity,external_uri,wikidata_uri,wikidata_qid,matched_label,description,confidence,conversion_status
"""Design Computing and Cognition",,,,"""Design Computing and Cognition",,0.0,not_converted
1 January 2019.[89][90,,,,1 January 2019.[89][90,,0.0,not_converted
1970s,http://www.wikidata.org/entity/Q35014,http://www.wikidata.org/entity/Q35014,Q35014,1970s,decade (1970-1979),1.0,converted_or_already_wikidata
2014-2020,,,,2014-2020,,0.0,not_converted
2015 to 2017,,,,2015 to 2017,,0.0,not_converted
AID,,,,AID,,0.0,not_converted
AND Construction,,,,AND Construction,,0.0,not_converted
ASCN,,,,ASCN,,0.0,not_converted
ASEAN,,,,ASEAN,,0.0,not_converted
ASP,,,,ASP,,0.0,not_converted
AT&T,http://www.wikidata.org/entity/Q35476,http://www.wikidata.org/entity/Q35476,Q35476,AT&T,American multinational conglomerate,1.0,converted_or_already_wikidata
AT&T Labs-Research,,,,AT&T Labs-Research,,0.0,not_converted
Accuscore,,,,Accuscore,,0.0,not_converted
Acornsoft,http://www.wikidata.org/entity/Q3604604,http://www.wikidata.org/entity/Q3604604,Q3604604,Acornsoft,former software division of Acorn Computers,1.0,converted_or_already_wikidata
Airbnb,http://www.wikidata.org/entity/Q63327,http://www.wikidata.org/entity/Q63327,Q63327,Airbnb,American online platform for rental accommodations,1.0,converted_or_already_wikidata
Akinci,,,,Akinci,,0.0,not_converted
Al Waer,,,,Al Waer,,0.0,not_converted
Alan Turing,http://www.wikidata.org/entity/Q7251,http://www.wikidata.org/entity/Q7251,Q7251,Alan Turing,English computer scientist (1912–1954),1.0,converted_or_already_wikidata
Alexander Bain,http://www.wikidata.org/entity/Q384882,http://www.wikidata.org/entity/Q384882,Q384882,Alexander Bain,Scottish philosopher and educationalist (1818–1903),1.0,converted_or_already_wikidata
Alexander Dobrindt,http://www.wikidata.org/entity/Q85783,http://www.wikidata.org/entity/Q85783,Q85783,Alexander Dobrindt,German politician,1.0,converted_or_already_wikidata
Alfredo,http://www.wikidata.org/entity/Q645734,http://www.wikidata.org/entity/Q645734,Q645734,Alfredo,male given name,1.0,converted_or_already_wikidata
Alibaba,http://www.wikidata.org/entity/Q1359568,http://www.wikidata.org/entity/Q1359568,Q1359568,Alibaba Group,Chinese multinational technology company,1.0,converted_or_already_wikidata
Amazon,http://www.wikidata.org/entity/Q3884,http://www.wikidata.org/entity/Q3884,Q3884,Amazon,American multinational technology company,1.0,converted_or_already_wikidata
America,,,,America,,0.0,not_converted
Amirkabir University of Technology.[67,,,,Amirkabir University of Technology.[67,,0.0,not_converted
Amsterdam,http://www.wikidata.org/entity/Q727,http://www.wikidata.org/entity/Q727,Q727,Amsterdam,capital and most populous city of the Netherlands,1.0,converted_or_already_wikidata
Andia,http://www.wikidata.org/entity/Q115925869,http://www.wikidata.org/entity/Q115925869,Q115925869,Andia,Romanian singer,1.0,converted_or_already_wikidata
Andrew Edmonds,,,,Andrew Edmonds,,0.0,not_converted
Apollo,http://www.wikidata.org/entity/Q665812,http://www.wikidata.org/entity/Q665812,Q665812,Apollo,male given name,1.0,converted_or_already_wikidata
Apple,http://www.wikidata.org/entity/Q312,http://www.wikidata.org/entity/Q312,Q312,Apple Inc.,"American multinational technology company based in Cupertino, California",1.0,converted_or_already_wikidata
April 2016,http://www.wikidata.org/entity/Q2874588,http://www.wikidata.org/entity/Q2874588,Q2874588,April 2016,month of 2016,1.0,converted_or_already_wikidata
ArchiCAD,http://www.wikidata.org/entity/Q506636,http://www.wikidata.org/entity/Q506636,Q506636,ArchiCAD,computer-aided design software,1.0,converted_or_already_wikidata
Arthur Samuel,http://www.wikidata.org/entity/Q710266,http://www.wikidata.org/entity/Q710266,Q710266,Arthur Samuel,American computer scientist (1901–1990),1.0,converted_or_already_wikidata
Arun Swami,http://www.wikidata.org/entity/Q51140510,http://www.wikidata.org/entity/Q51140510,Q51140510,Arun Swaminath,researcher,1.0,converted_or_already_wikidata
Associated General Contractors of America,http://www.wikidata.org/entity/Q21015616,http://www.wikidata.org/entity/Q21015616,Q21015616,Associated General Contractors of America,association of commercial construction contractors,1.0,converted_or_already_wikidata
Atari,http://www.wikidata.org/entity/Q207922,http://www.wikidata.org/entity/Q207922,Q207922,Atari,brand name owned by Atari Interactive,1.0,converted_or_already_wikidata
August 2004,http://www.wikidata.org/entity/Q760686,http://www.wikidata.org/entity/Q760686,Q760686,August 2004,month of 2004,1.0,converted_or_already_wikidata
Australia,http://www.wikidata.org/entity/Q408,http://www.wikidata.org/entity/Q408,Q408,Australia,country in Oceania,1.0,converted_or_already_wikidata
Autodesk,http://www.wikidata.org/entity/Q628051,http://www.wikidata.org/entity/Q628051,Q628051,Autodesk,American company,1.0,converted_or_already_wikidata
BCA,,,,BCA,,0.0,not_converted
BIM,,,,BIM,,0.0,not_converted
BIM Africa Initiative,,,,BIM Africa Initiative,,0.0,not_converted
BIM Cluster,,,,BIM Cluster,,0.0,not_converted
BIMaS,http://www.wikidata.org/entity/Q10429684,http://www.wikidata.org/entity/Q10429684,Q10429684,Bimastos,genus of annelids,1.0,converted_or_already_wikidata
BS2015,,,,BS2015,,0.0,not_converted
BSI,,,,BSI,,0.0,not_converted
Baidu,http://www.wikidata.org/entity/Q14772,http://www.wikidata.org/entity/Q14772,Q14772,Baidu,Chinese web services company,1.0,converted_or_already_wikidata
Bank of Canada,http://www.wikidata.org/entity/Q806703,http://www.wikidata.org/entity/Q806703,Q806703,Bank of Canada,central bank of Canada,1.0,converted_or_already_wikidata
Banks,http://www.wikidata.org/entity/Q806825,http://www.wikidata.org/entity/Q806825,Q806825,Banks,family name,1.0,converted_or_already_wikidata
Barcelona,http://www.wikidata.org/entity/Q1492,http://www.wikidata.org/entity/Q1492,Q1492,Barcelona,"city in Catalonia, Spain",1.0,converted_or_already_wikidata
Basel,http://www.wikidata.org/entity/Q78,http://www.wikidata.org/entity/Q78,Q78,Basel,city on the Rhine in Switzerland,1.0,converted_or_already_wikidata
Belgrade,http://www.wikidata.org/entity/Q3711,http://www.wikidata.org/entity/Q3711,Q3711,Belgrade,capital of Serbia,1.0,converted_or_already_wikidata
Bentley Systems,http://www.wikidata.org/entity/Q818314,http://www.wikidata.org/entity/Q818314,Q818314,Bentley Systems,software company for CAD-Design,1.0,converted_or_already_wikidata
Bernard P. Zeigler,http://www.wikidata.org/entity/Q16105529,http://www.wikidata.org/entity/Q16105529,Q16105529,Bernard P. Zeigler,engineer,1.0,converted_or_already_wikidata
Berry,http://www.wikidata.org/entity/Q827140,http://www.wikidata.org/entity/Q827140,Q827140,Berry,family name,1.0,converted_or_already_wikidata
Big Chaos,,,,Big Chaos,,0.0,not_converted
Bill East,,,,Bill East,,0.0,not_converted
Bing,http://www.wikidata.org/entity/Q182496,http://www.wikidata.org/entity/Q182496,Q182496,Microsoft Bing,web search engine from Microsoft,1.0,converted_or_already_wikidata
Birger Sevaldson,,,,Birger Sevaldson,,0.0,not_converted
Bischof,http://www.wikidata.org/entity/Q866108,http://www.wikidata.org/entity/Q866108,Q866108,Bischof,family name,1.0,converted_or_already_wikidata
Bishop,http://www.wikidata.org/entity/Q611644,http://www.wikidata.org/entity/Q611644,Q611644,Catholic bishop,"ordained minister in the Catholic Church (for other religious denominations, use Q29182)",1.0,converted_or_already_wikidata
Bloomberg Philanthropies,http://www.wikidata.org/entity/Q16987920,http://www.wikidata.org/entity/Q16987920,Q16987920,Bloomberg Philanthropies,charitable organization,1.0,converted_or_already_wikidata
Boston,http://www.wikidata.org/entity/Q100,http://www.wikidata.org/entity/Q100,Q100,Boston,"capital and largest city of Massachusetts, United States",1.0,converted_or_already_wikidata
British Standards Institute,,,,British Standards Institute,,0.0,not_converted
Bruzzone A.G.,,,,Bruzzone A.G.,,0.0,not_converted
Brydges,http://www.wikidata.org/entity/Q21507019,http://www.wikidata.org/entity/Q21507019,Q21507019,Brydges,family name,1.0,converted_or_already_wikidata
Buckminster Fuller's,http://www.wikidata.org/entity/Q110890662,http://www.wikidata.org/entity/Q110890662,Q110890662,Buckminster Fuller's Dymaxion Deployment Unit,1941 exhibition at Museum of Modern Art,1.0,converted_or_already_wikidata
BuildSmart,,,,BuildSmart,,0.0,not_converted
Building and Construction Authority,http://www.wikidata.org/entity/Q4986523,http://www.wikidata.org/entity/Q4986523,Q4986523,Building and Construction Authority,statutory board under the Ministry of National Development of the Singapore Government,1.0,converted_or_already_wikidata
