subject,subject_label,relation,object,object_label,subject_qid,object_qid,status,matched_property_id,matched_property_label,matched_property_uri,similarity_score
"""Design Computing and Cognition",ORG,lead,biannual,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
'PaxSims' blog,ORG,archive,2 November 2022,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
'PaxSims' blog,ORG,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
1 January 2019.[89][90,DATE,issue,Lithuania,GPE,,Q37,entities_not_aligned_to_wikidata,,,,0.0
10 December 2017,DATE,design,Encyclopedia of Computer Science,ORG,,Q126683668,entities_not_aligned_to_wikidata,,,,0.0
10 December 2017,DATE,design,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
10 October 2020,DATE,react,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
14 July 2012,DATE,archive.today,2005,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
14 July 2012,DATE,archive.today,Eriksson,PERSON,,Q1354604,entities_not_aligned_to_wikidata,,,,0.0
14 July 2012,DATE,archive.today,Ulf,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
16 April 2009,DATE,react,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
18 aprile 2016,DATE,archive,25 January 2021,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
19 September 2021,DATE,retrieve,Lindsay,PERSON,,Q13403801,entities_not_aligned_to_wikidata,,,,0.0
19 September 2021,DATE,retrieve,Richard P.,PERSON,,Q110409222,entities_not_aligned_to_wikidata,,,,0.0
19 September 2021,DATE,retrieve,September 1964,DATE,,Q16676381,entities_not_aligned_to_wikidata,,,,0.0
1949,DATE,canadian psychologist,Donald Hebb,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
1949,DATE,describe,Donald Hebb,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
1956,DATE,archive,26 April 2011,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
1956,DATE,discover,Svaetichin,PERSON,,Q45902399,entities_not_aligned_to_wikidata,,,,0.0
1958,DATE,call,Willy Higginbotham,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
1970s,DATE,use,early 1980s,DATE,Q35014,,entities_not_aligned_to_wikidata,,,,0.0
1972,DATE,austrian linguist,Edgar W. Schneider,PERSON,,Q83154480,entities_not_aligned_to_wikidata,,,,0.0
1980,DATE,cause,1984,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
1980,DATE,cause,Acornsoft,ORG,,Q3604604,entities_not_aligned_to_wikidata,,,,0.0
1981,DATE,book,1999,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
